start_node_id,end_node_id,properties.Rating,properties.DateRated,properties.Recommended
Megan Williams,Synergistic static Graphic Interface,3,1993-5-9,True
Christie Jordan,Synergistic transitional task-force,2,2015-9-10,True
Thomas Martinez,Robust 6thgeneration service-desk,2,1993-6-28,True
Amy Oconnor,Expanded well-modulated circuit,1,1999-7-13,True
Shelly Harper,Customizable 5thgeneration process improvement,2,2004-12-12,False
Gabrielle Hopkins,Operative explicit open architecture,4,2015-12-19,True
Troy Zamora,Reduced radical analyzer,5,2011-6-21,True
Jeremy Perez,Cloned zero administration conglomeration,5,1997-8-4,True
David Williams,Integrated high-level Graphic Interface,4,2013-2-19,True
Donald Boyd,Streamlined dedicated structure,2,1995-7-1,True
Dr. Jonathan Baxter,Multi-channeled 5thgeneration orchestration,2,2008-1-15,True
George Nguyen,Proactive secondary throughput,3,1990-4-12,True
Dawn Allen,Front-line attitude-oriented project,2,2015-2-24,True
Gabrielle Hopkins,Re-engineered analyzing open architecture,3,1993-2-27,True
Joseph Gomez,Exclusive eco-centric projection,5,2004-11-17,False
Jasmine Garza,Proactive secondary throughput,3,1998-6-19,True
Stephanie Hudson,Right-sized needs-based middleware,3,1992-8-27,False
Sherry Watson,Fundamental stable challenge,3,1996-4-9,False
Joshua Williams,Adaptive reciprocal contingency,4,2008-9-25,False
Brent Avery,Intuitive fault-tolerant intranet,3,2011-3-21,True
Chad Patel,Reduced actuating application,5,1993-8-8,True
Thomas Gonzales,User-friendly coherent Local Area Network,3,2014-3-22,True
Derek Cannon,Intuitive object-oriented model,5,2017-12-12,False
Samuel Robinson,Front-line regional structure,2,1998-3-23,False
Erin Harris,Profound client-driven flexibility,2,1995-11-16,True
Anthony Bell,Exclusive static migration,4,2010-6-14,False
Stephen Wright,Customer-focused needs-based portal,3,1997-1-2,False
Steven Lawrence,Automated system-worthy website,4,1999-3-9,False
Phillip Anderson,Customizable contextually-based protocol,3,2008-12-27,False
Meagan Brown,Implemented demand-driven conglomeration,4,2018-12-15,True
Brandon Brennan,Secured neutral open architecture,3,2005-7-16,False
Brittany Sims,Optional intermediate info-mediaries,5,2017-1-17,False
Mr. Jose Jones,Polarized web-enabled matrix,4,2011-11-19,True
Timothy Price,Right-sized optimal conglomeration,1,1996-3-18,True
Kathleen Garcia,Synergistic actuating extranet,4,2017-3-11,False
Jennifer Sanchez,Team-oriented homogeneous firmware,1,2011-3-11,False
Jamie Parker,Realigned 24hour attitude,5,1990-6-14,False
Christopher Gutierrez,De-engineered full-range framework,3,2012-1-13,False
Scott Harris,Secured needs-based policy,2,1997-2-14,True
Jamie Franklin,Secured directional functionalities,5,1999-10-16,False
Benjamin Walton,Secured heuristic challenge,2,2019-6-23,False
Ian Martin,Customizable 5thgeneration process improvement,2,1992-8-8,True
Tyler Smith,Implemented holistic array,5,2012-12-12,False
Evan Sampson,Pre-emptive static approach,3,2019-5-19,True
Brett Baker,De-engineered heuristic definition,3,1991-5-27,False
Cory Harrison,Networked global customer loyalty,1,2005-10-4,True
Carlos Hernandez,Intuitive national support,2,2009-3-18,True
Brenda Cruz,Cloned radical firmware,5,2005-11-27,True
Robert Manning,Fully-configurable real-time matrix,4,2001-9-3,False
Kaitlyn Marshall,Programmable regional success,2,1991-8-25,False
Thomas Willis,Advanced transitional archive,5,2010-1-4,True
Kevin Baker,Cross-group human-resource Internet solution,5,2001-9-12,True
Cheryl Garcia,Realigned zero-defect interface,4,2009-9-24,True
Jennifer Lewis,Reactive regional Local Area Network,5,2015-11-23,True
Debra Warner,Integrated logistical instruction set,3,2011-12-9,True
Jacob White,Customer-focused value-added algorithm,2,2019-5-5,True
Curtis Graham,Phased 6thgeneration conglomeration,5,2015-10-18,True
Matthew Gray,Business-focused tertiary challenge,3,2012-4-18,False
Rebecca Salazar,Operative human-resource adapter,1,1998-1-2,False
Nicole Watson,Vision-oriented bifurcated encryption,2,1999-10-1,False
Peggy Fields,Organic systematic application,1,1994-1-5,True
Brittney Glover,Organized neutral ability,5,1995-9-6,True
Tina Combs,Grass-roots fault-tolerant throughput,2,1996-5-26,True
Debra Fields,Fundamental heuristic array,5,1993-7-19,False
Chelsea Campbell,Cross-platform solution-oriented intranet,2,1990-11-1,True
Valerie Garcia,Extended coherent neural-net,1,2019-9-2,True
Paula Davis MD,Customizable intangible projection,2,2008-5-6,True
Lindsay Harris,Cloned foreground approach,2,2011-2-23,True
Vicki Woods,Reactive 4thgeneration approach,1,1990-10-1,False
Roger Johnson,Focused tertiary conglomeration,1,2003-5-10,True
Megan Everett,Up-sized directional analyzer,4,2013-9-10,True
Samantha Moore,User-friendly coherent Local Area Network,1,1990-7-11,False
Randy Price,Persevering well-modulated help-desk,3,2017-2-9,True
Miranda Swanson,Persistent heuristic strategy,2,2013-8-5,False
Tara Key,Networked composite capability,2,1996-3-4,False
Tasha Olsen,Enhanced dynamic portal,2,2005-3-28,True
Anthony Hayes,Stand-alone uniform capability,2,2017-11-1,False
William Aguirre,Multi-channeled optimizing projection,4,2018-3-9,True
Marvin Brandt,Team-oriented zero-defect solution,5,2010-11-1,False
Ryan Chavez,Right-sized optimal conglomeration,3,1990-12-27,False
Todd Green,Seamless user-facing Local Area Network,2,1995-3-5,False
Kevin Jones,Centralized didactic middleware,1,2001-2-3,False
Christopher Velez,Switchable bifurcated artificial intelligence,5,2002-2-25,False
Melissa Butler,Organized neutral ability,4,2005-8-17,True
Angel Campbell,Customizable 6thgeneration archive,1,1992-8-17,True
Diana Anthony,Team-oriented background model,3,2016-7-9,False
Laura Nicholson,Cross-platform 3rdgeneration functionalities,1,2014-7-23,False
Michelle Roberts,Digitized actuating success,2,1999-5-24,True
Chase Gonzalez,Polarized solution-oriented concept,3,2015-4-13,True
Mr. Christopher Shah DDS,Intuitive heuristic architecture,2,2018-3-15,False
Pamela Shaw,De-engineered analyzing success,2,2003-6-20,False
Melinda Merritt,Sharable real-time firmware,1,2003-4-25,True
Deborah Allen,Managed contextually-based protocol,1,2019-5-4,True
Derrick Hampton,Ameliorated mission-critical Internet solution,1,1993-8-19,False
Nathaniel Terrell,Multi-layered human-resource task-force,1,2014-6-24,False
Michele Alvarado,Vision-oriented regional portal,3,1993-5-13,True
Samantha Miller,Devolved directional service-desk,5,2015-9-13,False
Andrea Little,Optional intermediate info-mediaries,2,2020-3-16,False
Nathaniel Stewart,Realigned local attitude,4,1993-8-10,False
Melissa Meyer,Down-sized multi-tasking Graphic Interface,5,2009-10-11,False
Connie Stokes,Open-source global task-force,5,2018-1-15,True
Alex Blackburn,De-engineered zero tolerance algorithm,2,1990-12-8,True
Allen James,Face-to-face holistic database,3,2016-7-7,True
Joshua Williams,Automated holistic encryption,3,2020-9-4,False
Jimmy Franco,Balanced fresh-thinking adapter,3,1995-12-28,False
Steve Hayes,Multi-tiered well-modulated policy,4,2019-5-16,True
Mary Clark,Open-source zero-defect framework,5,2003-4-4,False
Brenda Cole,Down-sized demand-driven synergy,2,2007-2-6,True
Thomas Willis,Decentralized empowering ability,1,2005-2-17,True
Cynthia Parsons,Multi-lateral 24/7 contingency,4,1994-2-1,False
Angela Santana,Balanced bottom-line artificial intelligence,3,2004-9-16,False
Mario Brown,Fully-configurable non-volatile circuit,1,1995-1-2,False
Jeremy Murphy,Secured impactful hierarchy,4,1995-8-13,False
Cole Harris,Total tangible strategy,2,2009-5-22,False
Shawn Neal,Balanced fresh-thinking adapter,5,2000-6-3,True
Jacob Simmons,Reverse-engineered mobile interface,2,1994-8-1,False
Travis Huber,Reverse-engineered holistic software,2,2005-12-20,True
Alyssa Andrews,Networked mobile migration,3,1999-9-21,False
Shannon Maxwell,Vision-oriented secondary info-mediaries,2,2008-8-20,True
Christopher Velez,Inverse homogeneous superstructure,2,2010-12-26,False
Brenda Cole,Phased zero-defect approach,2,1991-10-15,False
Charles Martinez,Seamless systemic database,4,2008-9-23,True
Angela Nichols,Streamlined bottom-line hierarchy,2,2014-6-5,True
Lindsay Harris,Face-to-face regional capacity,2,2005-10-8,False
Karen Lopez,Triple-buffered actuating initiative,5,2002-5-19,True
Sean Ayala,Multi-lateral scalable structure,4,1997-4-19,True
Gary Williams,Persevering fresh-thinking utilization,1,2008-9-4,False
Susan Carpenter,Devolved coherent software,2,2018-3-1,True
Marisa Martinez,Decentralized empowering ability,3,1993-8-7,True
Michael Ewing,Up-sized stable flexibility,4,1990-10-27,False
Michael Trujillo,Operative regional open system,5,2003-3-15,True
Anna Nelson,Multi-lateral 3rdgeneration open architecture,4,1996-8-3,False
Robert Wolfe,Function-based multi-state conglomeration,5,2005-2-12,False
Lindsay Harris,Total user-facing standardization,5,1991-11-22,False
Rhonda Anderson,Synergistic motivating solution,1,2001-1-27,False
Joseph Gomez,Future-proofed 5thgeneration task-force,2,1995-3-6,False
Rebecca Hess,Seamless multi-tasking parallelism,1,2014-8-27,True
Daniel Yoder,Profound bifurcated flexibility,5,1996-8-2,True
Karen Patton,Customizable bi-directional policy,2,2000-2-9,True
Patricia Murray,Universal demand-driven encryption,5,1996-9-28,True
Valerie Choi,Visionary motivating website,3,2005-9-14,True
Gabrielle Hopkins,Upgradable executive frame,2,2018-3-23,False
Mr. Christopher Shah DDS,Face-to-face incremental framework,3,2004-6-11,False
Michaela Underwood,Robust context-sensitive Graphical User Interface,2,2014-3-15,True
Christopher Miller,Multi-layered interactive moratorium,5,2003-8-11,True
Kayla Mcclain,Secured heuristic challenge,2,1996-8-11,False
David Ayala,Multi-layered bottom-line info-mediaries,2,2017-11-13,False
Mrs. Theresa Hall,Profit-focused user-facing encryption,2,2016-6-13,True
Joseph Trujillo,Adaptive reciprocal contingency,5,2014-5-11,True
Jon Jones,Secured needs-based policy,5,2008-12-13,False
Colleen Byrd,Fundamental intermediate alliance,4,2020-9-6,True
Antonio Price,Upgradable tertiary application,2,2007-10-17,False
Rick Rush,Team-oriented background model,4,1999-6-24,False
Jonathan Clarke,Configurable didactic time-frame,2,2015-12-22,True
Nicole Cox,Profound bifurcated flexibility,5,2013-1-27,False
Lisa Harris,Programmable regional success,2,2001-3-8,False
Jerry Arroyo,Visionary next generation circuit,5,2014-4-25,True
Kimberly Holmes,Open-architected mission-critical system engine,1,2006-6-5,True
Rebecca Moore,Front-line regional structure,1,2008-6-8,False
Kimberly Diaz,Profit-focused hybrid utilization,3,2011-3-9,False
Christopher Wilson,Triple-buffered fault-tolerant task-force,4,1998-12-11,False
Cory Jefferson,Streamlined foreground conglomeration,2,2001-7-14,False
William Zimmerman,Public-key discrete archive,1,2007-1-6,False
James King,Reverse-engineered 5thgeneration groupware,4,1992-3-16,False
Cheryl Delacruz,Organized dynamic leverage,4,1997-9-25,True
Mark Mckinney,Business-focused executive parallelism,1,2007-1-6,False
Barry Meza,Pre-emptive didactic customer loyalty,3,2004-9-1,True
Christine Callahan DDS,Proactive secondary throughput,3,2017-8-7,True
James Larson,Automated background secured line,5,2016-6-18,True
Amber Jones,Balanced motivating interface,1,1994-8-14,False
Daniel Moore,Public-key value-added policy,5,2010-4-7,False
David Gonzales,Reduced bifurcated paradigm,2,2013-8-19,False
Margaret Wyatt,Right-sized optimal conglomeration,5,2003-12-15,True
Robyn Johnson,Customizable intangible projection,3,2009-10-16,False
Javier Estrada,User-friendly local contingency,4,1996-5-20,True
Tammy Mahoney,Reverse-engineered 5thgeneration groupware,1,2005-2-3,True
Michele Willis,Assimilated upward-trending solution,1,2014-10-15,True
Lauren Richards,Configurable methodical Graphical User Interface,4,1991-1-14,True
Sandra Nguyen,Mandatory didactic frame,5,2014-6-28,False
Thomas Willis,Innovative executive toolset,2,2011-3-20,False
Julie Lane,Focused asynchronous software,2,2017-5-24,True
Joshua Bailey,Customizable secondary support,2,1993-12-15,True
Thomas Wells,Down-sized multi-tasking Graphic Interface,1,2014-11-14,True
Denise York,Phased 6thgeneration conglomeration,1,2016-6-23,False
Travis Green,Intuitive national support,3,1992-9-4,False
Joseph Diaz,Future-proofed local productivity,3,2014-9-18,False
Sarah Lamb,Down-sized encompassing time-frame,5,2002-11-20,False
Susan Clark,Synergistic motivating solution,3,2002-12-27,False
Mr. Cory King,Cross-group asynchronous Internet solution,5,2000-3-28,False
Crystal Massey,Upgradable neutral hub,2,2003-2-18,False
Christopher Buckley,Persevering clear-thinking conglomeration,4,2007-10-12,True
Jesse Gonzales,Self-enabling full-range encoding,4,1995-9-3,False
Benjamin Moon,Fundamental demand-driven leverage,5,1995-3-28,True
Gregory Walker,Re-engineered 5thgeneration matrix,5,2018-8-18,True
Michaela Underwood,Focused hybrid knowledge user,5,2003-5-25,False
Tiffany Watson,Enhanced zero-defect firmware,2,2009-9-20,False
Christopher Haynes,Right-sized incremental archive,2,2013-5-20,True
Cindy Powell,Function-based client-server projection,2,1993-5-3,True
Tracy Harper,Customizable regional contingency,3,2009-8-13,False
Lisa Porter,Object-based eco-centric hardware,1,1992-7-22,True
Diana Jacobson,Self-enabling asymmetric knowledge user,2,2014-11-3,False
Barbara Smith,Quality-focused reciprocal middleware,5,2011-1-26,True
Tanya Orozco,Reactive regional Local Area Network,3,1996-7-5,False
Timothy Daniels,Right-sized uniform encoding,1,2001-8-16,False
Krystal Weeks DDS,Sharable systemic collaboration,3,2008-3-9,False
Sarah Butler,Switchable multi-state knowledgebase,5,2006-4-22,True
Danny Scott,Customizable secondary support,5,2002-2-11,True
Kristen Harrison,Enterprise-wide bi-directional definition,5,2008-8-17,True
Tony Taylor,Digitized contextually-based array,5,2011-12-18,False
Nichole Arroyo,Centralized transitional policy,4,2019-12-16,True
Michael Harrington,Versatile cohesive portal,1,2016-7-24,False
Ricardo Murphy,Multi-layered system-worthy utilization,2,1995-7-16,True
Dana Melton,Organized clear-thinking policy,2,2006-12-25,True
Jonathan Ferguson,Up-sized stable flexibility,1,2013-9-21,False
Anna Smith,Multi-tiered client-driven success,5,2002-11-13,True
Jose Hanna,Optional composite Local Area Network,5,1991-8-22,True
Timothy Campos,Proactive leadingedge migration,5,1994-7-1,True
Michael Ewing,Triple-buffered static Local Area Network,5,2011-9-24,False
Erica Sanchez,Universal responsive definition,2,1997-11-1,True
Cory Brown,Team-oriented directional moratorium,2,1995-2-16,True
Madeline Morris,Exclusive grid-enabled capacity,3,2016-9-16,False
Michael Ortiz,Re-contextualized impactful flexibility,4,2000-12-10,False
Karen Jenkins,Configurable transitional product,1,1991-6-13,False
Rebekah Miller,Centralized logistical emulation,3,2004-9-12,True
Diana Merritt,Compatible holistic service-desk,1,2018-7-19,True
Heidi Martin,Open-architected motivating Graphical User Interface,1,2006-5-14,True
Brendan Cannon,Team-oriented background model,4,1994-9-28,True
Mary Perez,Robust motivating array,5,2006-7-4,False
Ashley Walker,Function-based encompassing capacity,5,1992-12-27,True
Angel Arnold,Enhanced high-level hardware,4,1993-11-21,False
Stephen Lewis,Digitized bottom-line firmware,1,1995-10-7,False
John Huynh,Focused content-based intranet,1,2019-9-6,False
Jessica Ward,Realigned leadingedge hierarchy,5,2014-10-24,False
Brianna Robinson,User-friendly coherent Local Area Network,1,2019-4-19,True
Craig Watson,Multi-lateral 6thgeneration contingency,3,2019-8-18,False
Allen James,Devolved dynamic projection,5,2019-12-15,True
Gregory Taylor,Re-engineered didactic Graphical User Interface,1,2015-6-21,True
Randy Burns,Total tangible strategy,4,1995-2-22,False
Colleen Byrd,Intuitive fault-tolerant intranet,2,2014-1-13,True
John Patel,Persevering 6thgeneration paradigm,5,2012-12-12,False
Daniel Franklin,Customer-focused needs-based portal,5,1997-6-4,False
Courtney Cruz,Devolved transitional access,4,2003-8-13,False
Lori Williams,Operative radical benchmark,3,1994-8-24,False
Vicki Woods,Vision-oriented impactful algorithm,3,2000-1-26,True
Danny Barrera,Diverse zero tolerance synergy,5,2020-2-12,True
Mrs. Krystal Sanchez,Synergized even-keeled paradigm,3,1990-10-28,False
Steven Kelly,Reactive interactive structure,1,2012-12-24,False
Phillip Anderson,Intuitive heuristic architecture,2,2009-8-6,False
Cindy Wilson,Grass-roots interactive throughput,4,2006-5-25,False
Melanie Phillips,Mandatory optimal toolset,3,1993-6-23,True
James Lopez,User-centric upward-trending data-warehouse,1,2008-8-4,True
Victoria Pennington,Advanced radical implementation,1,2001-8-21,False
Lori Henderson,Intuitive bottom-line definition,1,2003-9-21,True
Rebecca Hill,Grass-roots fault-tolerant frame,3,2019-1-20,False
Regina Williams,User-friendly local contingency,2,1996-5-18,False
Morgan Rodriguez,Profound needs-based parallelism,5,2009-12-1,True
Nancy Park,Seamless systemic database,3,2009-10-16,False
Cory Harrison,Object-based regional flexibility,1,1996-6-14,False
Jennifer Ramirez,Organic systematic application,2,1995-10-15,True
Regina Frye,Multi-channeled grid-enabled definition,4,2015-6-9,False
Edward Perez,Customer-focused demand-driven success,3,1994-2-12,True
Lisa Richards,Organized systematic middleware,3,2002-1-15,True
Amanda Hester,Cross-platform mission-critical flexibility,2,2016-12-5,False
Dr. Kathryn Brown MD,Automated dedicated moratorium,3,2019-8-20,True
Kelly Mendoza,De-engineered modular system engine,4,2017-3-22,False
Gregory Taylor,Versatile upward-trending forecast,4,2013-4-17,False
Nathaniel White,Pre-emptive didactic customer loyalty,2,1990-9-12,True
Nichole Munoz,Customizable 6thgeneration archive,4,2018-1-9,True
Richard West,Re-contextualized non-volatile analyzer,5,2011-9-23,True
Stephanie Bush,Assimilated human-resource strategy,4,1996-11-22,True
Melissa Deleon,Universal demand-driven encryption,1,1991-12-15,False
Mary Perez,Persistent client-server artificial intelligence,4,2006-2-8,False
Steve Hayes,Operative bifurcated throughput,3,2016-4-9,False
Timothy Richardson,Synergized even-keeled paradigm,4,2010-1-18,False
Kristina Morgan,Cloned radical process improvement,3,2009-2-25,False
Ashley Stevens,Enhanced foreground process improvement,4,1991-7-15,False
Kyle Chavez,Profound client-driven flexibility,5,2014-2-5,True
Nicole Neal,Fully-configurable 24hour capacity,4,2019-11-4,False
Cassandra Rivera,Switchable next generation info-mediaries,5,2017-2-27,False
Michele Willis,Automated attitude-oriented initiative,3,1991-3-27,False
Cheryl Perry,Profit-focused intermediate support,4,2015-3-4,True
David Weber,Enterprise-wide local data-warehouse,2,2004-6-2,True
Victoria Pennington,Persevering fresh-thinking utilization,4,1993-5-14,True
Nicholas Serrano,Pre-emptive clear-thinking system engine,2,2015-3-11,False
Michele Willis,Centralized scalable task-force,4,2006-4-10,True
William Gross,Seamless multimedia system engine,1,2004-11-23,False
Mark Watson,Open-architected incremental secured line,5,1993-10-16,False
Cindy Ross,Compatible systemic throughput,1,1995-5-4,True
Stephen Nelson,Front-line context-sensitive website,4,1993-12-2,True
David Rodriguez,Programmable multimedia benchmark,1,2005-3-27,False
William Herman,Enhanced needs-based firmware,4,1993-11-25,True
Brianna Robinson,Focused asynchronous software,4,2009-7-26,False
Kristin Shepard,De-engineered systemic standardization,3,2010-3-14,False
Robert Woods,User-centric regional project,3,2018-9-1,True
Seth Calderon,Inverse clear-thinking groupware,5,2002-3-14,False
Jeffery Dougherty,Synergistic upward-trending Local Area Network,5,2013-2-13,True
Mary Williams,Multi-layered motivating array,3,2001-8-11,True
Frank Summers,Multi-channeled dynamic monitoring,5,1992-11-18,False
Sara Price,De-engineered systemic standardization,1,2018-9-18,True
Carlos Hernandez,Synergistic static Graphic Interface,1,2003-8-10,True
Todd Green,Synergistic motivating solution,5,2011-11-8,False
Amy Cortez,Re-engineered explicit architecture,2,2010-10-28,True
Robert Manning,Open-source optimizing paradigm,3,2002-2-18,False
Michaela Underwood,Re-engineered context-sensitive superstructure,1,1993-11-11,True
Timothy Hooper,De-engineered modular system engine,4,2005-3-16,True
Jason Reynolds,Profound attitude-oriented frame,3,1999-11-19,False
Emily Nichols,Object-based non-volatile paradigm,2,2006-3-18,False
Anthony Smith,Balanced systemic methodology,5,2009-3-13,True
Robert Harvey,Synergistic static Graphic Interface,2,2018-3-19,True
Shelia Miller,Seamless multimedia system engine,1,2000-8-16,False
Brooke Wilson,Persistent homogeneous artificial intelligence,1,1998-1-23,False
Todd Small,Pre-emptive clear-thinking system engine,2,1991-9-8,False
William Aguirre,Team-oriented zero-defect solution,5,1994-9-15,True
Christopher Long,Right-sized upward-trending solution,1,2020-9-12,False
Mr. Jacob Larson,Visionary motivating website,4,1999-3-27,False
Patrick Fields,Assimilated zero-defect analyzer,5,1997-9-16,True
Jeremy Simpson,Reduced bifurcated paradigm,1,2001-12-21,False
Kimberly Holmes,Switchable homogeneous encoding,2,2010-6-3,False
Kevin Sullivan,Stand-alone uniform capability,5,2015-2-12,True
Janet Lloyd,Streamlined bottom-line hierarchy,4,1996-6-12,False
Michael Ramirez,Virtual asymmetric policy,2,2015-12-23,False
Kristina Morgan,Enhanced foreground process improvement,3,1991-8-20,False
Monica Hernandez,Reverse-engineered holistic software,2,2006-4-1,True
Nicholas Serrano,Inverse 6thgeneration collaboration,1,1990-12-4,False
Michelle Evans,Visionary intermediate approach,2,2011-11-20,True
Todd Simmons,Configurable leadingedge Graphical User Interface,4,2013-10-15,True
Michael Bowen,Persevering exuding hardware,3,1993-1-21,False
Teresa Hughes,Quality-focused object-oriented synergy,3,1990-1-25,True
Richard Smith,Object-based reciprocal throughput,5,1991-10-21,False
Katrina Curtis,Managed heuristic strategy,5,2000-10-11,True
Antonio Price,Synergistic upward-trending Local Area Network,2,2002-1-19,False
Mrs. Sandra Rogers MD,Right-sized context-sensitive hierarchy,3,2007-9-10,False
James Hardin,Programmable multimedia benchmark,4,2019-3-15,True
Joseph Ramirez,Re-engineered methodical knowledgebase,4,1993-12-1,False
Gabrielle Hopkins,Reverse-engineered mobile interface,3,2002-4-21,False
Vanessa Campbell,Vision-oriented impactful algorithm,1,1990-6-3,False
Jacob Harris,Seamless multi-tasking parallelism,1,2008-3-1,False
Jeffrey Garrett,Advanced 3rdgeneration migration,1,1998-4-22,False
Steven Taylor,Focused didactic paradigm,1,2010-8-10,False
Jennifer Campbell,Expanded explicit workforce,4,2016-3-5,True
Jason Miller,Switchable upward-trending migration,5,2014-8-4,False
Jacob Simmons,Profound client-driven flexibility,4,2016-4-13,True
Paul Williams,Managed motivating firmware,2,2007-11-26,False
Olivia Ali,Cloned explicit adapter,5,1999-4-13,True
Donna Castro,Grass-roots dynamic alliance,3,2014-9-22,True
Christopher Mcbride,Cloned cohesive collaboration,1,2017-6-6,False
Miss Lynn Santos,Robust motivating migration,3,2002-2-16,False
Dawn Barnes,Profound motivating artificial intelligence,1,1992-9-8,False
Kristen Benjamin,Total user-facing standardization,3,2011-7-16,True
Crystal Davis,Team-oriented maximized website,5,2011-3-2,True
Matthew Thomas,Advanced leadingedge encryption,1,2009-11-10,True
Juan Brown,Quality-focused reciprocal middleware,3,2016-6-27,False
Nicole Watson,Multi-lateral foreground service-desk,5,1998-2-11,False
