name,birthDate,deathDate,bio,memberID,nationality
Nancy White,1951-01-03,,An acclaimed Actor with a passion for singing.,NW1951,USA
Ashley Johnson,1983-07-09,,An acclaimed Actor with a passion for writing.,AJ1983,Italy
Lisa Johnson,1991-02-16,,An acclaimed Screenwriter with a passion for painting.,LJ1991,Spain
Matthew Anderson,1958-01-17,,An acclaimed Producer with a passion for painting.,MA1958,Germany
William Wilson,2014-11-21,,An acclaimed Director with a passion for traveling.,WW2014,France
James White,2008-02-02,,An acclaimed Producer with a passion for singing.,JW2008,Canada
Karen Thomas,1963-03-18,,An acclaimed Composer with a passion for photography.,KT1963,USA
Sandra Lee,1974-04-16,,An acclaimed Producer with a passion for traveling.,SL1974,UK
Christopher Rodriguez,1964-12-17,,An acclaimed Director with a passion for traveling.,CR1964,France
Daniel Lee,2008-02-25,,An acclaimed Actor with a passion for traveling.,DL2008,Germany
Sarah Jones,2002-09-27,,An acclaimed Producer with a passion for singing.,SJ2002,Australia
Mark Jones,1988-12-02,,An acclaimed Producer with a passion for painting.,MJ1988,Spain
David Williams,1991-08-07,,An acclaimed Composer with a passion for painting.,DW1991,France
Jennifer Smith,2014-03-19,,An acclaimed Actor with a passion for painting.,JS2014,USA
Thomas Lewis,2023-10-16,,An acclaimed Producer with a passion for traveling.,TL2023,Canada
Karen Hernandez,2017-07-12,,An acclaimed Producer with a passion for traveling.,KH2017,UK
William Garcia,2022-01-07,,An acclaimed Producer with a passion for photography.,WG2022,Canada
Karen Thomas,1998-11-08,,An acclaimed Composer with a passion for traveling.,KT1998,Italy
Anthony Johnson,1983-07-12,,An acclaimed Screenwriter with a passion for writing.,AJ1983,Canada
William Hall,1976-03-28,,An acclaimed Screenwriter with a passion for singing.,WH1976,USA
Charles Hall,1976-10-12,,An acclaimed Actor with a passion for photography.,CH1976,Canada
Patricia Hernandez,1973-04-15,,An acclaimed Composer with a passion for photography.,PH1973,Germany
Robert Miller,1976-07-15,,An acclaimed Screenwriter with a passion for singing.,RM1976,Germany
John Hall,2003-05-20,,An acclaimed Producer with a passion for painting.,JH2003,UK
Elizabeth Taylor,1971-09-22,,An acclaimed Screenwriter with a passion for writing.,ET1971,Canada
Jessica Lee,1967-08-09,,An acclaimed Actor with a passion for painting.,JL1967,Germany
Anthony White,1962-03-24,,An acclaimed Actor with a passion for writing.,AW1962,UK
Susan Lewis,2014-05-14,,An acclaimed Screenwriter with a passion for writing.,SL2014,Canada
John Miller,1961-09-03,,An acclaimed Screenwriter with a passion for photography.,JM1961,Australia
Elizabeth Thompson,1955-03-10,,An acclaimed Composer with a passion for traveling.,ET1955,Germany
Christopher Williams,2005-12-17,,An acclaimed Composer with a passion for singing.,CW2005,France
David Davis,2014-09-21,,An acclaimed Composer with a passion for traveling.,DD2014,Germany
Karen Anderson,1971-08-20,,An acclaimed Screenwriter with a passion for painting.,KA1971,USA
Robert Lewis,1993-12-14,,An acclaimed Producer with a passion for writing.,RL1993,Canada
John Allen,1955-10-19,,An acclaimed Producer with a passion for writing.,JA1955,France
Ashley Robinson,1964-02-22,,An acclaimed Composer with a passion for writing.,AR1964,France
Sarah Davis,1998-09-26,,An acclaimed Screenwriter with a passion for singing.,SD1998,Italy
Richard Hall,2020-03-17,,An acclaimed Producer with a passion for traveling.,RH2020,Australia
Christopher Moore,1958-06-13,,An acclaimed Producer with a passion for painting.,CM1958,Spain
Michael Jones,1970-08-12,,An acclaimed Composer with a passion for writing.,MJ1970,UK
John Hernandez,1966-04-19,,An acclaimed Director with a passion for painting.,JH1966,Germany
Sarah Jackson,2021-04-25,,An acclaimed Director with a passion for photography.,SJ2021,Canada
Mary Hall,1983-04-24,,An acclaimed Screenwriter with a passion for photography.,MH1983,UK
Nancy Rodriguez,1968-08-12,,An acclaimed Actor with a passion for photography.,NR1968,UK
Linda Hall,1979-12-19,,An acclaimed Composer with a passion for painting.,LH1979,Australia
Sarah White,1992-03-24,,An acclaimed Producer with a passion for singing.,SW1992,Canada
Sandra Garcia,1991-03-03,,An acclaimed Screenwriter with a passion for singing.,SG1991,USA
Anthony Clark,1965-06-21,,An acclaimed Actor with a passion for singing.,AC1965,Spain
Linda Clark,1966-10-06,,An acclaimed Screenwriter with a passion for singing.,LC1966,Spain
James Brown,1987-12-27,,An acclaimed Director with a passion for singing.,JB1987,Australia
Richard Miller,2009-09-11,,An acclaimed Director with a passion for singing.,RM2009,Spain
Robert Jones,2016-05-28,,An acclaimed Screenwriter with a passion for singing.,RJ2016,Canada
Jessica Martinez,2016-07-28,,An acclaimed Producer with a passion for painting.,JM2016,Canada
Mary White,1958-10-27,,An acclaimed Director with a passion for painting.,MW1958,Canada
Sandra Hernandez,1958-01-08,,An acclaimed Director with a passion for photography.,SH1958,Canada
Barbara Martin,1957-11-01,,An acclaimed Screenwriter with a passion for writing.,BM1957,Spain
Ashley Hall,2010-11-10,,An acclaimed Composer with a passion for traveling.,AH2010,France
Jennifer Harris,1957-12-22,,An acclaimed Actor with a passion for traveling.,JH1957,France
Christopher Lewis,2001-06-14,,An acclaimed Director with a passion for singing.,CL2001,USA
Ashley Lee,1985-09-25,,An acclaimed Composer with a passion for painting.,AL1985,Italy
Michael Walker,1976-12-24,,An acclaimed Actor with a passion for traveling.,MW1976,USA
Robert Wilson,1975-05-26,,An acclaimed Screenwriter with a passion for painting.,RW1975,Spain
Patricia Robinson,1992-07-22,,An acclaimed Producer with a passion for photography.,PR1992,Italy
Michael Robinson,1952-04-26,,An acclaimed Composer with a passion for singing.,MR1952,France
Jennifer Jackson,1994-06-08,,An acclaimed Director with a passion for writing.,JJ1994,Spain
Charles Young,1968-08-16,,An acclaimed Director with a passion for traveling.,CY1968,USA
Ashley Thompson,1998-09-05,,An acclaimed Producer with a passion for writing.,AT1998,Spain
Elizabeth Robinson,1961-10-07,,An acclaimed Producer with a passion for painting.,ER1961,UK
Margaret Lewis,2019-10-11,,An acclaimed Director with a passion for writing.,ML2019,Italy
Linda Martinez,1986-05-22,,An acclaimed Producer with a passion for painting.,LM1986,USA
Sarah Garcia,1974-06-05,,An acclaimed Composer with a passion for writing.,SG1974,Canada
Jennifer Moore,1967-09-13,,An acclaimed Screenwriter with a passion for painting.,JM1967,Italy
Anthony Davis,2022-07-16,,An acclaimed Screenwriter with a passion for photography.,AD2022,Italy
Susan Moore,1972-02-14,,An acclaimed Actor with a passion for traveling.,SM1972,Australia
William Johnson,1973-01-04,,An acclaimed Actor with a passion for writing.,WJ1973,Spain
Daniel Lewis,1967-08-02,,An acclaimed Director with a passion for painting.,DL1967,Spain
Margaret Allen,1968-03-06,,An acclaimed Composer with a passion for singing.,MA1968,Canada
Karen Miller,2016-02-23,,An acclaimed Screenwriter with a passion for traveling.,KM2016,Spain
James Thomas,2004-01-05,,An acclaimed Composer with a passion for singing.,JT2004,France
Jennifer Miller,1983-11-08,,An acclaimed Screenwriter with a passion for writing.,JM1983,Australia
Susan Davis,1995-04-18,,An acclaimed Producer with a passion for traveling.,SD1995,UK
Karen Lewis,1962-09-11,,An acclaimed Director with a passion for painting.,KL1962,USA
Thomas Johnson,1978-04-19,,An acclaimed Screenwriter with a passion for traveling.,TJ1978,Australia
Anthony White,1956-10-13,,An acclaimed Composer with a passion for traveling.,AW1956,Australia
Mary Jackson,1951-01-11,,An acclaimed Producer with a passion for photography.,MJ1951,Australia
Richard Moore,1981-07-09,,An acclaimed Actor with a passion for writing.,RM1981,France
Jessica Allen,1998-01-13,,An acclaimed Screenwriter with a passion for traveling.,JA1998,Italy
Christopher Moore,1996-06-16,,An acclaimed Composer with a passion for painting.,CM1996,USA
Richard Thomas,2015-03-08,,An acclaimed Director with a passion for traveling.,RT2015,Spain
Joseph Thomas,1963-05-09,,An acclaimed Composer with a passion for writing.,JT1963,Spain
John Jackson,2022-11-06,,An acclaimed Producer with a passion for photography.,JJ2022,Spain
Linda Thomas,1964-06-06,,An acclaimed Screenwriter with a passion for traveling.,LT1964,Germany
Anthony Martinez,2013-02-24,,An acclaimed Director with a passion for photography.,AM2013,Australia
Karen Johnson,1995-02-22,,An acclaimed Composer with a passion for singing.,KJ1995,USA
Michael Young,2016-10-02,,An acclaimed Composer with a passion for painting.,MY2016,Germany
Sarah Johnson,2008-08-25,,An acclaimed Producer with a passion for writing.,SJ2008,Canada
Linda Thompson,1975-05-18,,An acclaimed Producer with a passion for singing.,LT1975,UK
Nancy Brown,2012-12-24,,An acclaimed Composer with a passion for painting.,NB2012,Australia
Christopher Martin,1975-06-27,,An acclaimed Composer with a passion for painting.,CM1975,UK
Jennifer Walker,2023-07-14,,An acclaimed Actor with a passion for singing.,JW2023,Australia
Joseph Brown,1993-03-14,,An acclaimed Composer with a passion for writing.,JB1993,Australia
Lisa Harris,1976-08-09,,An acclaimed Director with a passion for photography.,LH1976,Italy
Joseph White,2021-08-24,,An acclaimed Screenwriter with a passion for writing.,JW2021,France
Barbara Davis,1967-05-05,,An acclaimed Actor with a passion for singing.,BD1967,Italy
Matthew Williams,1972-10-25,,An acclaimed Director with a passion for painting.,MW1972,USA
Anthony Moore,1984-09-20,,An acclaimed Producer with a passion for singing.,AM1984,Italy
Jessica Miller,1991-04-09,,An acclaimed Director with a passion for traveling.,JM1991,UK
Daniel Martin,2006-06-08,,An acclaimed Director with a passion for traveling.,DM2006,France
Daniel Taylor,2000-03-13,,An acclaimed Director with a passion for traveling.,DT2000,Spain
Jennifer Martinez,1965-10-20,,An acclaimed Producer with a passion for writing.,JM1965,Italy
Ashley White,2010-03-23,,An acclaimed Composer with a passion for writing.,AW2010,Australia
Charles Martin,2008-02-22,,An acclaimed Actor with a passion for painting.,CM2008,Italy
Margaret Martinez,2018-06-06,,An acclaimed Composer with a passion for photography.,MM2018,France
Matthew Rodriguez,2003-12-02,,An acclaimed Director with a passion for traveling.,MR2003,Italy
Sarah Thomas,1973-02-01,,An acclaimed Screenwriter with a passion for photography.,ST1973,France
Sarah Johnson,1952-08-21,,An acclaimed Producer with a passion for photography.,SJ1952,Spain
Joseph Smith,1966-08-24,,An acclaimed Screenwriter with a passion for writing.,JS1966,UK
Robert Wilson,1993-02-19,,An acclaimed Composer with a passion for writing.,RW1993,France
Karen Hernandez,2017-09-02,,An acclaimed Screenwriter with a passion for painting.,KH2017,Canada
Thomas Clark,2017-01-24,,An acclaimed Producer with a passion for traveling.,TC2017,Italy
Mary Clark,2000-12-10,,An acclaimed Director with a passion for traveling.,MC2000,USA
William Jones,1985-07-21,,An acclaimed Screenwriter with a passion for painting.,WJ1985,Italy
Sandra Harris,1959-01-20,,An acclaimed Producer with a passion for writing.,SH1959,Australia
Robert Jackson,1971-01-04,,An acclaimed Composer with a passion for photography.,RJ1971,Australia
Ashley Davis,1951-03-03,,An acclaimed Director with a passion for singing.,AD1951,Canada
Susan Thomas,1964-11-20,,An acclaimed Composer with a passion for painting.,ST1964,UK
Robert Lee,2022-06-17,,An acclaimed Director with a passion for painting.,RL2022,USA
Nancy Young,2012-07-01,,An acclaimed Actor with a passion for writing.,NY2012,USA
Jessica Johnson,2019-01-20,,An acclaimed Producer with a passion for writing.,JJ2019,Germany
Elizabeth Thomas,1971-04-21,,An acclaimed Producer with a passion for traveling.,ET1971,USA
Joseph Rodriguez,2011-05-19,,An acclaimed Producer with a passion for writing.,JR2011,USA
Michael Anderson,1994-10-04,,An acclaimed Screenwriter with a passion for traveling.,MA1994,Italy
Nancy Garcia,1992-07-25,,An acclaimed Screenwriter with a passion for traveling.,NG1992,Italy
Karen Young,2007-12-10,,An acclaimed Producer with a passion for painting.,KY2007,UK
Margaret Johnson,1964-10-08,,An acclaimed Producer with a passion for painting.,MJ1964,UK
Charles Davis,2002-03-14,,An acclaimed Director with a passion for photography.,CD2002,UK
Lisa Smith,1959-09-22,,An acclaimed Actor with a passion for singing.,LS1959,Australia
Mary Garcia,2020-07-04,,An acclaimed Director with a passion for painting.,MG2020,Germany
Mark Miller,1960-12-21,,An acclaimed Director with a passion for writing.,MM1960,Italy
Christopher Martin,2015-01-17,,An acclaimed Producer with a passion for traveling.,CM2015,Canada
David Clark,2010-04-17,,An acclaimed Director with a passion for singing.,DC2010,Australia
Mark Lee,1989-05-17,,An acclaimed Producer with a passion for traveling.,ML1989,Italy
Jennifer Allen,2020-10-02,,An acclaimed Composer with a passion for painting.,JA2020,Germany
Barbara White,2023-11-16,,An acclaimed Composer with a passion for singing.,BW2023,Italy
Thomas Walker,1964-09-06,,An acclaimed Actor with a passion for painting.,TW1964,USA
Jessica Allen,1993-09-21,,An acclaimed Screenwriter with a passion for singing.,JA1993,Canada
Elizabeth Hernandez,2001-07-05,,An acclaimed Actor with a passion for writing.,EH2001,France
Daniel Walker,1957-04-10,,An acclaimed Screenwriter with a passion for painting.,DW1957,Canada
Thomas Hernandez,1995-05-11,,An acclaimed Actor with a passion for traveling.,TH1995,Spain
Michael Jackson,2012-10-22,,An acclaimed Composer with a passion for singing.,MJ2012,Italy
Robert Young,2001-09-22,,An acclaimed Actor with a passion for writing.,RY2001,Italy
Daniel Smith,1960-10-01,,An acclaimed Screenwriter with a passion for photography.,DS1960,USA
David Allen,1989-02-22,,An acclaimed Actor with a passion for singing.,DA1989,Germany
William Garcia,2007-08-02,,An acclaimed Screenwriter with a passion for writing.,WG2007,USA
Karen Walker,2011-09-04,,An acclaimed Composer with a passion for traveling.,KW2011,Australia
Nancy Jones,1992-01-22,,An acclaimed Composer with a passion for traveling.,NJ1992,USA
Patricia Anderson,1961-04-06,,An acclaimed Director with a passion for photography.,PA1961,Spain
Michael Jones,1978-02-08,,An acclaimed Screenwriter with a passion for photography.,MJ1978,Australia
David Wilson,2011-02-14,,An acclaimed Director with a passion for writing.,DW2011,Australia
David Rodriguez,2023-04-12,,An acclaimed Director with a passion for traveling.,DR2023,USA
Anthony Brown,2007-04-03,,An acclaimed Director with a passion for traveling.,AB2007,UK
Sandra Taylor,1951-10-24,,An acclaimed Actor with a passion for painting.,ST1951,UK
Robert Anderson,1998-09-19,,An acclaimed Screenwriter with a passion for traveling.,RA1998,Spain
Barbara Thomas,1971-01-03,,An acclaimed Actor with a passion for painting.,BT1971,UK
Robert Smith,1957-11-28,,An acclaimed Actor with a passion for traveling.,RS1957,France
Susan Lee,1958-02-17,,An acclaimed Screenwriter with a passion for photography.,SL1958,Italy
William Martinez,1996-08-01,,An acclaimed Producer with a passion for singing.,WM1996,Canada
Mary Thomas,1955-06-24,,An acclaimed Screenwriter with a passion for traveling.,MT1955,USA
Sarah Walker,1995-05-23,,An acclaimed Producer with a passion for singing.,SW1995,Germany
Daniel Smith,1953-02-08,,An acclaimed Screenwriter with a passion for writing.,DS1953,Germany
Karen Garcia,1993-08-22,,An acclaimed Producer with a passion for painting.,KG1993,USA
Lisa Harris,1965-01-28,,An acclaimed Director with a passion for writing.,LH1965,UK
